Zeit_in_h, Aufrufe
0.0000, 11356
2.6474, 168842
5.4214, 360222
7.9943, 702523
12.3434, 1228369
15.5613, 1495975
18.3972, 1696991
21.1437, 1856356
23.9528, 1995113
26.4958, 2126849
29.3735, 2287530
31.9994, 2443642
36.3875, 2742804
39.6058, 2893207
42.4016, 3003200
45.1735, 3086523
47.9611, 3169129
57.8053, 3476009
62.7023, 3615820
65.0555, 3676019
67.8172, 3746867
70.8598, 3802086
73.7227, 3848015
76.7471, 3912545
79.4378, 3964548
83.4692, 4030392
85.9634, 4062801
88.6848, 4066695
91.4256, 4095388
94.6045, 4126572
97.2892, 4153857
100.4128, 4192739
103.2912, 4226755
107.5659, 4276163
110.0854, 4299914
112.7380, 4301041
115.4445, 4327847
118.6455, 4355126
121.3156, 4381381
124.4651, 4414043
127.3275, 4446768
131.6257, 4494499
134.4294, 4519280
137.4915, 4530257
140.0671, 4549283
142.9301, 4570110
145.7818, 4594068
148.7515, 4623757
151.4757, 4653506
155.5706, 4696867
158.1196, 4717340
160.9186, 4737369
163.8048, 4754641
166.8905, 4765289
169.8038, 4786116
172.8231, 4806198
175.5851, 4823138
179.7682, 4856494
182.5665, 4874100
185.2053, 4888602
187.8788, 4905541
190.9599, 4918777
193.7741, 4936040
196.8205, 4954800
199.5510, 4972337
203.8113, 4999699
206.6287, 5015158
209.2384, 5028331
211.8988, 5043745
214.9767, 5056286
217.7658, 5071516
220.8461, 5088238
223.5473, 5104265
227.7736, 5123493
230.5905, 5136841
233.2042, 5150893
235.8289, 5161685
238.8966, 5173595
241.6578, 5187193
244.6919, 5203609
247.2042, 5219669
251.0424, 5246820
253.4349, 5260177
256.4273, 5275169
259.2192, 5288440
262.4106, 5302633
265.1211, 5312711
268.2836, 5329303
271.1306, 5344231
275.1104, 5366594
277.5930, 5377822
280.4541, 5389370
283.2412, 5401809
286.4444, 5414070
289.1446, 5426314
292.2764, 5441749
295.1148, 5457475
299.0684, 5480046
301.6317, 5491014
304.7191, 5506112
307.4791, 5516951
310.5103, 5528449
313.2063, 5540064
316.4396, 5556678
319.2213, 5571660
323.0243, 5597939
325.5263, 5608721
328.5019, 5618986
331.3448, 5628452
334.5686, 5638686
337.3214, 5649123
340.4274, 5666835
343.2012, 5682140
347.0550, 5708380
349.5625, 5720294
352.5061, 5732064
355.3541, 5744957
358.5764, 5754467
361.3101, 5767603
364.3856, 5781596
367.2095, 5795124
371.0381, 5813031
373.5690, 5822386
376.5471, 5834474
379.3705, 5841988
382.6213, 5853433
385.3491, 5865764
388.4399, 5881994
391.2454, 5896581
395.1031, 5916720
397.6306, 5926844
400.5699, 5938160
