Titel: The 7 Trillion AI Gamble Is Failing & The Collapse of Big Tech | Kanal: The Infographics Show | Link: https://www.youtube.com/watch?v=fGGuVY6Tcog
Zeit_in_h, Aufrufe
0.0000, 224
2.4587, 17076
5.4279, 45958
8.2064, 75795
11.4113, 101781
14.1119, 115524
17.2739, 124791
20.1216, 130421
24.1123, 137299
26.6020, 141815
29.4423, 146993
32.2270, 151985
35.4372, 157026
38.1382, 159677
41.2571, 163677
44.1160, 166224
48.0769, 171001
50.6655, 173837
53.7455, 177203
56.5628, 180468
59.6119, 183399
62.4218, 185895
65.4363, 188411
68.2497, 191228
72.0380, 195225
74.5792, 197642
77.5791, 199917
80.3472, 203465
83.5575, 207377
86.4582, 210609
89.4178, 213928
92.2382, 216392
